session_id,anomaly_score,critical_event,critical_count,example_log,all_events
105,0.7048884265974716,E18,1,"10.251.71.146:50010 Starting thread to transfer block blk_-4304326910587241051 to 10.251.127.191:50010, 10.251.110.196:50010","['E22', 'E5', 'E5', 'E5', 'E25', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E18', 'E5', 'E5', 'E26', 'E6', 'E16', 'E26', 'E6', 'E21', 'E21']"
109,0.993016487946026,E7,1,writeBlock blk_271745319033279389 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
110,0.0187395415226962,E5,1,Receiving block blk_4423128029576346005 src: /10.250.15.101:36178 dest: /10.250.15.101:50010,"['E22', 'E5']"
112,0.0187395415226962,E5,1,Receiving block blk_-6744501669016713784 src: /10.251.126.255:46464 dest: /10.251.126.255:50010,"['E22', 'E5']"
115,0.0187395415226962,E5,1,Receiving block blk_-7981936966289431785 src: /10.251.107.19:52772 dest: /10.251.107.19:50010,"['E22', 'E5']"
116,0.993016487946026,E7,1,writeBlock blk_8592983560257358579 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
117,0.0187395415226962,E5,1,Receiving block blk_-86536490425027391 src: /10.251.195.52:47586 dest: /10.251.195.52:50010,"['E22', 'E5']"
118,0.993016487946026,E7,1,writeBlock blk_3061937980832296286 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
121,0.993016487946026,E7,1,writeBlock blk_-8599731671847920909 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
123,0.0187395415226962,E5,1,Receiving block blk_5782302342707141533 src: /10.251.75.79:47491 dest: /10.251.75.79:50010,"['E22', 'E5']"
125,0.0187395415226962,E5,1,Receiving block blk_6568407330504668931 src: /10.251.214.112:54141 dest: /10.251.214.112:50010,"['E22', 'E5']"
127,0.9914541671286227,E18,1,10.250.18.114:50010 Starting thread to transfer block blk_-1597249921068575545 to 10.250.11.53:50010,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E25', 'E26', 'E11', 'E9', 'E18', 'E5', 'E16', 'E6', 'E26', 'E21']"
128,0.993016487946026,E7,1,writeBlock blk_-2930340164474214859 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
130,0.9914541671286227,E18,1,10.250.15.240:50010 Starting thread to transfer block blk_-6739860488313725269 to 10.250.7.146:50010,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E9', 'E25', 'E26', 'E11', 'E18', 'E5', 'E26', 'E6', 'E16', 'E21']"
131,0.0187395415226962,E5,1,Receiving block blk_2654016902986803151 src: /10.251.42.84:46999 dest: /10.251.42.84:50010,"['E22', 'E5']"
133,0.0187395415226962,E5,1,Receiving block blk_-4194977335586343802 src: /10.251.42.191:47356 dest: /10.251.42.191:50010,"['E22', 'E5']"
138,0.993016487946026,E7,1,writeBlock blk_-8564559053757187153 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
139,0.993016487946026,E7,1,writeBlock blk_1540682700808261265 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
140,0.993016487946026,E7,1,writeBlock blk_8955019103629391894 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
142,0.0187395415226962,E5,1,Receiving block blk_-6215051590034285968 src: /10.251.198.196:37226 dest: /10.251.198.196:50010,"['E22', 'E5']"
143,0.9914541671286227,E18,1,10.251.70.37:50010 Starting thread to transfer block blk_-1946694783635652405 to 10.251.42.207:50010,"['E22', 'E5', 'E5', 'E26', 'E26', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E25', 'E26', 'E18', 'E26', 'E16', 'E6', 'E5', 'E21']"
145,0.0187395415226962,E5,1,Receiving block blk_5679332564404011413 src: /10.251.31.85:45052 dest: /10.251.31.85:50010,"['E22', 'E5']"
146,0.0187395415226962,E5,1,Receiving block blk_4639125578448119006 src: /10.251.126.22:47910 dest: /10.251.126.22:50010,"['E22', 'E5']"
147,0.993016487946026,E7,1,writeBlock blk_4085933465992995945 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
149,0.993016487946026,E7,1,writeBlock blk_-67897746448958425 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
151,0.9914541671286227,E18,1,10.251.39.179:50010 Starting thread to transfer block blk_-963887220294303910 to 10.251.70.37:50010,"['E22', 'E5', 'E5', 'E5', 'E25', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E18', 'E5', 'E26', 'E6', 'E16', 'E21']"
152,0.993016487946026,E7,1,writeBlock blk_-911884192120662511 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
153,0.9914541671286227,E18,1,10.251.65.237:50010 Starting thread to transfer block blk_3557914126063085372 to 10.251.199.19:50010,"['E22', 'E5', 'E5', 'E5', 'E25', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E18', 'E5', 'E26', 'E16', 'E6', 'E21']"
155,0.0187395415226962,E5,1,Receiving block blk_-1541612089083514964 src: /10.251.201.204:33379 dest: /10.251.201.204:50010,"['E22', 'E5']"
347,0.9914541671286227,E18,1,10.250.10.144:50010 Starting thread to transfer block blk_2260576740749849268 to 10.251.74.79:50010,"['E22', 'E5', 'E5', 'E5', 'E25', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E18', 'E5', 'E26', 'E6', 'E16', 'E21']"
1420,0.9914541671286227,E18,1,10.251.39.64:50010 Starting thread to transfer block blk_-6899869435641005946 to 10.250.7.230:50010,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E18', 'E25', 'E26', 'E5', 'E26', 'E6', 'E16', 'E21']"
1524,7.850804782328933,E18,4,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010","['E5', 'E22', 'E5', 'E5', 'E11', 'E11', 'E9', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E6', 'E5', 'E16', 'E6', 'E5', 'E18', 'E25', 'E26', 'E26', 'E3', 'E25', 'E6', 'E6', 'E5', 'E5', 'E16', 'E18', 'E26', 'E26', 'E5', 'E6', 'E5', 'E16', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E18', 'E25', 'E6', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E26', 'E26', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E25', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E18', 'E6', 'E5', 'E3', 'E3', 'E3', 'E3', 'E3', 'E16', 'E3', 'E3', 'E3', 'E3', 'E26', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
