BlockId,Label
blk_4931832500563355889,Normal
blk_5133892961859808126,Normal
blk_-1052739769153545987,Normal
blk_4151093570962084251,Normal
blk_6717969265771639561,Normal
blk_-4236464647074379160,Normal
blk_-2498004188306609167,Normal
blk_5636792039332085446,Normal
blk_-7185891569842971867,Normal
blk_2583366788302307794,Normal
blk_-4026330115303607086,Normal
blk_-1577830978049349432,Normal
blk_6420476111425645508,Normal
blk_377236923047456543,Normal
blk_8223024669447846632,Normal
blk_4058804987355354315,Normal
blk_4856031730010032819,Normal
blk_-6339417867119146108,Normal
blk_-6714222090039882252,Normal
blk_4031055865781150544,Normal
blk_8725561728667995755,Normal
blk_-9084956447070300510,Normal
blk_-8048421706779991679,Normal
blk_-4525470997464616220,Normal
blk_872694497849122755,Anomaly
blk_-5170072115129389871,Normal
blk_-5493359978973542887,Normal
blk_-8162512552777886199,Normal
blk_1185079144408607775,Normal
blk_-6852866038059123001,Normal
blk_6578809109018330119,Normal
blk_-7130787197300034964,Normal
blk_2657254091763574664,Normal
blk_3091099087150179177,Normal
blk_4623571410782847630,Normal
blk_-568941302732430172,Normal
blk_2404342940449629715,Normal
blk_-5414183895914433338,Normal
blk_613065710451569222,Normal
blk_-67977319704233769,Normal
blk_-8694359045337946818,Normal
blk_24847521761041757,Normal
blk_-3238412011236244640,Normal
blk_-1121030458003600251,Normal
blk_-6827329558602881823,Normal
blk_7132759917805418067,Normal
blk_7392010738495470190,Normal
blk_8055148678985254863,Normal
blk_-3520428728308625709,Normal
blk_6986538622634403948,Normal
blk_-6035208985581955117,Normal
blk_6678472565712118087,Normal
blk_7573381576932599374,Normal
blk_197214010584922120,Normal
blk_-3253829104116368139,Normal
blk_-3443869707407490925,Normal
blk_-7689031213313245416,Normal
blk_3773669678166680940,Normal
blk_841265344082922041,Normal
blk_3488190436389958215,Normal
blk_-5358363415355511925,Normal
blk_5274692881287326658,Normal
blk_-2573988170548478524,Normal
blk_-5175722170941249815,Normal
blk_2646137657036117634,Normal
blk_-6232712486646639079,Normal
blk_-7232800529359257484,Normal
blk_2585807940696131461,Normal
blk_-7486457612086258197,Normal
blk_1732876454483854279,Normal
blk_3294295097158489623,Normal
blk_-6511728007995801856,Normal
blk_3953559589275347835,Normal
blk_-463158400553007438,Normal
blk_5614249702379360530,Normal
blk_38171424126089923,Normal
blk_-7532913187987519950,Normal
blk_-3318642146574997320,Normal
blk_-6054385392244792487,Normal
blk_-7545473931084004681,Normal
blk_-237744713088101845,Normal
blk_541458502420960920,Normal
blk_-7565306891743376805,Normal
blk_8465769948419925967,Normal
blk_1367870633219053668,Normal
blk_-3572954475094555028,Normal
blk_2455917203220074754,Normal
blk_-5472366049560759167,Normal
blk_-2449017855856764848,Normal
