EventId,Content,Time,Date,Pid,Level,Component,EventTemplate,BlockId
E5,Receiving block blk_1483694219884556894 src: /10.251.91.84:59298 dest: /10.251.91.84:50010,203844,81109,277,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1483694219884556894
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000363_0/part-00363. blk_1483694219884556894,203844,81109,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_1483694219884556894
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000327_0/part-00327. blk_7648436334209344608,203928,81109,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_7648436334209344608
E5,Receiving block blk_7648436334209344608 src: /10.251.105.189:56560 dest: /10.251.105.189:50010,203928,81109,307,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_7648436334209344608
E5,Receiving block blk_7648436334209344608 src: /10.251.105.189:43015 dest: /10.251.105.189:50010,203928,81109,316,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_7648436334209344608
E7,writeBlock blk_7648436334209344608 received exception java.io.IOException: Could not read from stream,203932,81109,307,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_7648436334209344608
E5,Receiving block blk_5482154336643183343 src: /10.251.66.63:40022 dest: /10.251.66.63:50010,203940,81109,317,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_5482154336643183343
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000124_0/part-00124. blk_5482154336643183343,203941,81109,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_5482154336643183343
E5,Receiving block blk_-5447417104355795463 src: /10.250.7.146:53532 dest: /10.250.7.146:50010,203943,81109,305,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-5447417104355795463
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000341_0/part-00341. blk_-5447417104355795463,203943,81109,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-5447417104355795463
E5,Receiving block blk_-5447417104355795463 src: /10.250.7.146:46503 dest: /10.250.7.146:50010,203944,81109,323,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-5447417104355795463
E7,writeBlock blk_-5447417104355795463 received exception java.io.IOException: Could not read from stream,203948,81109,305,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-5447417104355795463
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000083_0/part-00083. blk_8201117867106038775,203944,81109,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_8201117867106038775
E5,Receiving block blk_8201117867106038775 src: /10.251.214.175:44955 dest: /10.251.214.175:50010,203944,81109,320,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_8201117867106038775
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000336_0/part-00336. blk_7689982531196174133,203950,81109,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_7689982531196174133
E5,Receiving block blk_7689982531196174133 src: /10.251.39.144:58265 dest: /10.251.39.144:50010,203950,81109,319,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_7689982531196174133
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000143_0/part-00143. blk_-3048100091565287612,203958,81109,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-3048100091565287612
E5,Receiving block blk_-3048100091565287612 src: /10.251.31.160:60755 dest: /10.251.31.160:50010,203958,81109,317,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3048100091565287612
E5,Receiving block blk_-3048100091565287612 src: /10.251.31.160:41285 dest: /10.251.31.160:50010,203959,81109,323,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3048100091565287612
E7,writeBlock blk_-3048100091565287612 received exception java.io.IOException: Could not read from stream,204002,81109,317,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-3048100091565287612
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000311_0/part-00311. blk_2299327360406878240,204005,81109,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_2299327360406878240
E5,Receiving block blk_2299327360406878240 src: /10.251.90.134:40788 dest: /10.251.90.134:50010,204005,81109,320,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_2299327360406878240
E5,Receiving block blk_8591542202077771197 src: /10.251.214.130:49994 dest: /10.251.214.130:50010,204008,81109,325,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_8591542202077771197
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000072_0/part-00072. blk_8591542202077771197,204009,81109,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_8591542202077771197
E5,Receiving block blk_8591542202077771197 src: /10.251.214.130:49000 dest: /10.251.214.130:50010,204009,81109,333,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_8591542202077771197
E7,writeBlock blk_8591542202077771197 received exception java.io.IOException: Could not read from stream,204014,81109,325,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_8591542202077771197
E5,Receiving block blk_-8188730556182299562 src: /10.251.214.18:58207 dest: /10.251.214.18:50010,204027,81109,329,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-8188730556182299562
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000211_0/part-00211. blk_-8188730556182299562,204027,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-8188730556182299562
E5,Receiving block blk_-8188730556182299562 src: /10.251.214.18:33523 dest: /10.251.214.18:50010,204028,81109,343,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-8188730556182299562
E7,writeBlock blk_-8188730556182299562 received exception java.io.IOException: Could not read from stream,204031,81109,329,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-8188730556182299562
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000346_0/part-00346. blk_1907193123990348590,204031,81109,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_1907193123990348590
E5,Receiving block blk_1907193123990348590 src: /10.250.11.53:42095 dest: /10.250.11.53:50010,204031,81109,338,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1907193123990348590
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000257_0/part-00257. blk_-4584260656075541553,204033,81109,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-4584260656075541553
E5,Receiving block blk_-4584260656075541553 src: /10.251.126.22:38166 dest: /10.251.126.22:50010,204033,81109,336,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-4584260656075541553
E5,Receiving block blk_-4584260656075541553 src: /10.251.126.22:47450 dest: /10.251.126.22:50010,204033,81109,337,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-4584260656075541553
E7,writeBlock blk_-4584260656075541553 received exception java.io.IOException: Could not read from stream,204042,81109,336,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-4584260656075541553
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000210_0/part-00210. blk_-4000271277927010782,204049,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-4000271277927010782
E5,Receiving block blk_-4000271277927010782 src: /10.251.75.163:46125 dest: /10.251.75.163:50010,204049,81109,361,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-4000271277927010782
E5,Receiving block blk_-4000271277927010782 src: /10.251.75.163:47777 dest: /10.251.75.163:50010,204050,81109,357,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-4000271277927010782
E7,writeBlock blk_-4000271277927010782 received exception java.io.IOException: Could not read from stream,204053,81109,361,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-4000271277927010782
E5,Receiving block blk_6497123060009861497 src: /10.251.197.226:53853 dest: /10.251.197.226:50010,204102,81109,439,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_6497123060009861497
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000259_0/part-00259. blk_6497123060009861497,204103,81109,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_6497123060009861497
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000348_0/part-00348. blk_-6368080607687883191,204112,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-6368080607687883191
E5,Receiving block blk_-6368080607687883191 src: /10.251.123.195:41973 dest: /10.251.123.195:50010,204112,81109,361,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-6368080607687883191
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000272_0/part-00272. blk_-8599731671847920909,204112,81109,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-8599731671847920909
E5,Receiving block blk_-8599731671847920909 src: /10.251.43.192:41933 dest: /10.251.43.192:50010,204112,81109,362,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-8599731671847920909
E5,Receiving block blk_-8599731671847920909 src: /10.251.43.192:36495 dest: /10.251.43.192:50010,204112,81109,379,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-8599731671847920909
E7,writeBlock blk_-8599731671847920909 received exception java.io.IOException: Could not read from stream,204115,81109,362,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-8599731671847920909
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000388_0/part-00388. blk_9059213897892511730,204123,81109,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_9059213897892511730
E5,Receiving block blk_9059213897892511730 src: /10.251.29.239:58221 dest: /10.251.29.239:50010,204123,81109,368,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_9059213897892511730
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000300_0/part-00300. blk_4971154345890344,204123,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_4971154345890344
E5,Receiving block blk_4971154345890344 src: /10.251.111.80:43866 dest: /10.251.111.80:50010,204123,81109,363,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_4971154345890344
E5,Receiving block blk_4971154345890344 src: /10.251.111.80:57620 dest: /10.251.111.80:50010,204123,81109,370,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_4971154345890344
E7,writeBlock blk_4971154345890344 received exception java.io.IOException: Could not read from stream,204127,81109,363,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_4971154345890344
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000258_0/part-00258. blk_1324709291391680362,204133,81109,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_1324709291391680362
E5,Receiving block blk_1324709291391680362 src: /10.251.199.150:35107 dest: /10.251.199.150:50010,204133,81109,382,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1324709291391680362
E5,Receiving block blk_1324709291391680362 src: /10.251.199.150:53473 dest: /10.251.199.150:50010,204137,81109,396,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1324709291391680362
E7,writeBlock blk_1324709291391680362 received exception java.io.IOException: Could not read from stream,204142,81109,382,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_1324709291391680362
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000324_0/part-00324. blk_701002159220026110,204134,81109,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_701002159220026110
E5,Receiving block blk_701002159220026110 src: /10.251.107.196:58661 dest: /10.251.107.196:50010,204134,81109,378,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_701002159220026110
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000069_0/part-00069. blk_5972760974375530027,204134,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_5972760974375530027
E5,Receiving block blk_5972760974375530027 src: /10.251.74.134:43396 dest: /10.251.74.134:50010,204134,81109,397,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_5972760974375530027
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000295_0/part-00295. blk_-9136899640657293877,204141,81109,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-9136899640657293877
E5,Receiving block blk_-9136899640657293877 src: /10.251.43.210:55240 dest: /10.251.43.210:50010,204141,81109,379,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-9136899640657293877
E5,Receiving block blk_-9136899640657293877 src: /10.251.43.210:44923 dest: /10.251.43.210:50010,204145,81109,401,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-9136899640657293877
E7,writeBlock blk_-9136899640657293877 received exception java.io.IOException: Could not read from stream,204149,81109,379,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-9136899640657293877
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000197_0/part-00197. blk_-1716295386405014363,204142,81109,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-1716295386405014363
E5,Receiving block blk_-1716295386405014363 src: /10.250.5.161:38758 dest: /10.250.5.161:50010,204142,81109,390,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-1716295386405014363
E5,Receiving block blk_-1716295386405014363 src: /10.250.5.161:35929 dest: /10.250.5.161:50010,204143,81109,382,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-1716295386405014363
E7,writeBlock blk_-1716295386405014363 received exception java.io.IOException: Could not read from stream,204145,81109,390,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-1716295386405014363
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000203_0/part-00203. blk_-6537466496668089147,204147,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-6537466496668089147
E5,Receiving block blk_-6537466496668089147 src: /10.251.38.53:37948 dest: /10.251.38.53:50010,204147,81109,377,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-6537466496668089147
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000099_0/part-00099. blk_-3068938607837722121,204148,81109,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-3068938607837722121
E5,Receiving block blk_-3068938607837722121 src: /10.251.123.1:44897 dest: /10.251.123.1:50010,204148,81109,385,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3068938607837722121
E5,Receiving block blk_-3068938607837722121 src: /10.251.123.1:46309 dest: /10.251.123.1:50010,204148,81109,399,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3068938607837722121
E7,writeBlock blk_-3068938607837722121 received exception java.io.IOException: Could not read from stream,204151,81109,399,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-3068938607837722121
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000295_0/part-00295. blk_7819129300327159896,204155,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_7819129300327159896
E5,Receiving block blk_7819129300327159896 src: /10.251.43.210:39086 dest: /10.251.43.210:50010,204156,81109,387,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_7819129300327159896
E5,Receiving block blk_7819129300327159896 src: /10.251.43.210:55251 dest: /10.251.43.210:50010,204156,81109,388,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_7819129300327159896
E7,writeBlock blk_7819129300327159896 received exception java.io.IOException: Could not read from stream,204159,81109,388,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_7819129300327159896
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000163_0/part-00163. blk_8955019103629391894,204156,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_8955019103629391894
E5,Receiving block blk_8955019103629391894 src: /10.250.10.223:42797 dest: /10.250.10.223:50010,204156,81109,360,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_8955019103629391894
E5,Receiving block blk_8955019103629391894 src: /10.250.10.223:50459 dest: /10.250.10.223:50010,204156,81109,399,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_8955019103629391894
E7,writeBlock blk_8955019103629391894 received exception java.io.IOException: Could not read from stream,204159,81109,360,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_8955019103629391894
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000292_0/part-00292. blk_-8497592682221017946,204159,81109,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-8497592682221017946
E5,Receiving block blk_-8497592682221017946 src: /10.251.123.99:32967 dest: /10.251.123.99:50010,204159,81109,410,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-8497592682221017946
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000275_0/part-00275. blk_-6744501669016713784,204200,81109,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-6744501669016713784
E5,Receiving block blk_-6744501669016713784 src: /10.251.126.255:46464 dest: /10.251.126.255:50010,204200,81109,399,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-6744501669016713784
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000162_0/part-00162. blk_-67897746448958425,204205,81109,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-67897746448958425
E5,Receiving block blk_-67897746448958425 src: /10.251.89.155:33255 dest: /10.251.89.155:50010,204205,81109,387,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-67897746448958425
E5,Receiving block blk_-67897746448958425 src: /10.251.89.155:41272 dest: /10.251.89.155:50010,204205,81109,404,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-67897746448958425
E7,writeBlock blk_-67897746448958425 received exception java.io.IOException: Could not read from stream,204209,81109,387,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-67897746448958425
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000022_0/part-00022. blk_-2720637654072551626,204209,81109,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-2720637654072551626
E5,Receiving block blk_-2720637654072551626 src: /10.250.19.227:45757 dest: /10.250.19.227:50010,204209,81109,396,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-2720637654072551626
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000386_0/part-00386. blk_-6215051590034285968,204212,81109,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-6215051590034285968
E5,Receiving block blk_-6215051590034285968 src: /10.251.198.196:37226 dest: /10.251.198.196:50010,204212,81109,409,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-6215051590034285968
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000207_0/part-00207. blk_1344575558593443180,204213,81109,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_1344575558593443180
E5,Receiving block blk_1344575558593443180 src: /10.251.38.197:60427 dest: /10.251.38.197:50010,204213,81109,396,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1344575558593443180
E5,Receiving block blk_1344575558593443180 src: /10.251.38.197:56925 dest: /10.251.38.197:50010,204213,81109,406,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_1344575558593443180
E7,writeBlock blk_1344575558593443180 received exception java.io.IOException: Could not read from stream,204217,81109,396,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_1344575558593443180
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000291_0/part-00291. blk_-2195201456641508025,204215,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-2195201456641508025
E5,Receiving block blk_-2195201456641508025 src: /10.251.197.226:53900 dest: /10.251.197.226:50010,204215,81109,482,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-2195201456641508025
E5,Receiving block blk_-2195201456641508025 src: /10.251.197.226:57153 dest: /10.251.197.226:50010,204218,81109,414,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-2195201456641508025
E7,writeBlock blk_-2195201456641508025 received exception java.io.IOException: Could not read from stream,204221,81109,482,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-2195201456641508025
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000242_0/part-00242. blk_-911884192120662511,204219,81109,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-911884192120662511
E5,Receiving block blk_-911884192120662511 src: /10.251.199.159:51211 dest: /10.251.199.159:50010,204219,81109,414,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-911884192120662511
E5,Receiving block blk_-911884192120662511 src: /10.251.199.159:49222 dest: /10.251.199.159:50010,204219,81109,423,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-911884192120662511
E7,writeBlock blk_-911884192120662511 received exception java.io.IOException: Could not read from stream,204222,81109,423,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-911884192120662511
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000148_0/part-00148. blk_-6120634070609301891,204219,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-6120634070609301891
E5,Receiving block blk_-6120634070609301891 src: /10.251.39.144:58365 dest: /10.251.39.144:50010,204219,81109,418,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-6120634070609301891
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000064_0/part-00064. blk_8651970783815872348,204221,81109,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_8651970783815872348
